Data/Hora,"Lat, Long",Latitude,Longitude
19/04/2023 11:08:22,"-22.977982,-43.231795",-22.977982,-43.231795
19/04/2023 11:08:32,"-22.977980,-43.231792",-22.97798,-43.231792
19/04/2023 11:08:42,"-22.977987,-43.231804",-22.977987,-43.231804
19/04/2023 11:08:52,"-22.977998,-43.231798",-22.977998,-43.231798
19/04/2023 11:09:02,"-22.977999,-43.231811",-22.977999,-43.231811
19/04/2023 11:09:12,"-22.977988,-43.231801",-22.977988,-43.231801
19/04/2023 11:09:22,"-22.977994,-43.231800",-22.977994,-43.2318
19/04/2023 11:09:32,"-22.977992,-43.231804",-22.977992,-43.231804
19/04/2023 11:09:42,"-22.977988,-43.231801",-22.977988,-43.231801
19/04/2023 11:09:53,"-22.977995,-43.231803",-22.977995,-43.231803
19/04/2023 11:10:02,"-22.977992,-43.231806",-22.977992,-43.231806
19/04/2023 11:10:13,"-22.977990,-43.231803",-22.97799,-43.231803
19/04/2023 11:10:23,"-22.978007,-43.231806",-22.978007,-43.231806
19/04/2023 11:10:33,"-22.977998,-43.231797",-22.977998,-43.231797
19/04/2023 11:10:43,"-22.977997,-43.231794",-22.977997,-43.231794
19/04/2023 11:10:53,"-22.977986,-43.231800",-22.977986,-43.2318
19/04/2023 11:11:03,"-22.977989,-43.231793",-22.977989,-43.231793
19/04/2023 11:11:13,"-22.977990,-43.231801",-22.97799,-43.231801
19/04/2023 11:11:23,"-22.977994,-43.231799",-22.977994,-43.231799
19/04/2023 11:11:33,"-22.977980,-43.231792",-22.97798,-43.231792
19/04/2023 11:11:43,"-22.978001,-43.231796",-22.978001,-43.231796
19/04/2023 11:11:53,"-22.977986,-43.231785",-22.977986,-43.231785
19/04/2023 11:12:03,"-22.977975,-43.231794",-22.977975,-43.231794
19/04/2023 11:12:13,"-22.977985,-43.231792",-22.977985,-43.231792
19/04/2023 11:12:23,"-22.977983,-43.231792",-22.977983,-43.231792
19/04/2023 11:12:33,"-22.977992,-43.231796",-22.977992,-43.231796
19/04/2023 11:12:43,"-22.978397,-43.232144",-22.978397,-43.232144
19/04/2023 11:12:53,"-22.977975,-43.231794",-22.977975,-43.231794
19/04/2023 11:13:03,"-22.977976,-43.231797",-22.977976,-43.231797
19/04/2023 11:13:13,"-22.977978,-43.231784",-22.977978,-43.231784
19/04/2023 11:13:23,"-22.978000,-43.231794",-22.978,-43.231794
