Data,Hora,Latitude,Longitude
14/04/2023,15:35:57,-22.977991,-43.231815
14/04/2023,15:36:07,-22.977987,-43.231805
14/04/2023,15:36:17,-22.977993,-43.231809
14/04/2023,15:36:27,-22.977993,-43.231813
14/04/2023,15:36:38,-22.977995,-43.231815
14/04/2023,15:36:48,-22.978,-43.231815
14/04/2023,15:36:57,-22.977991,-43.231813
14/04/2023,15:37:07,-22.977997,-43.231813
14/04/2023,15:37:18,-22.977992,-43.231811
14/04/2023,15:37:28,-22.978001,-43.231814
14/04/2023,15:37:39,-22.977997,-43.231811
14/04/2023,15:37:49,-22.977998,-43.231811
14/04/2023,15:38:00,-22.978005,-43.231811
14/04/2023,15:38:15,-22.977997,-43.231811
14/04/2023,15:38:24,-22.978003,-43.231819
14/04/2023,15:38:34,-22.977996,-43.231809
14/04/2023,15:38:44,-22.977996,-43.23181
14/04/2023,15:38:54,-22.978,-43.231814
14/04/2023,15:39:05,-22.977997,-43.231812
14/04/2023,15:39:14,-22.977998,-43.23182
14/04/2023,15:39:24,-22.977997,-43.231811
14/04/2023,15:39:35,-22.977997,-43.231812
14/04/2023,15:39:45,-22.977998,-43.231811
14/04/2023,15:39:55,-22.977986,-43.231808
14/04/2023,15:40:05,-22.977997,-43.231811
14/04/2023,15:40:15,-22.978005,-43.231815
14/04/2023,15:40:25,-22.977998,-43.231816
14/04/2023,15:40:35,-22.977987,-43.23181
14/04/2023,15:40:45,-22.977988,-43.231813
14/04/2023,15:40:55,-22.977989,-43.231814
14/04/2023,15:41:09,-22.977994,-43.231809
14/04/2023,15:41:19,-22.977984,-43.231808
14/04/2023,15:41:29,-22.977989,-43.23181
14/04/2023,15:41:42,-22.977987,-43.23181
14/04/2023,15:41:52,-22.97798,-43.231807
14/04/2023,15:42:03,-22.977986,-43.231806
14/04/2023,15:42:18,-22.977984,-43.231807
14/04/2023,15:42:27,-22.978009,-43.231834
14/04/2023,15:42:38,-22.977984,-43.231817
14/04/2023,15:42:48,-22.977996,-43.231817
14/04/2023,15:42:57,-22.977992,-43.231811
14/04/2023,15:43:08,-22.978005,-43.231813
14/04/2023,15:43:18,-22.977993,-43.231811
14/04/2023,15:43:28,-22.978008,-43.231818
14/04/2023,15:43:38,-22.977989,-43.231811
14/04/2023,15:43:48,-22.977989,-43.231813
14/04/2023,15:43:58,-22.977988,-43.23181
14/04/2023,15:44:08,-22.978008,-43.231809
14/04/2023,15:44:18,-22.977996,-43.231812
14/04/2023,15:44:28,-22.977998,-43.231811
14/04/2023,15:44:38,-22.977996,-43.231813
14/04/2023,15:44:48,-22.97799,-43.231823
14/04/2023,15:44:58,-22.977995,-43.231805
14/04/2023,15:45:08,-22.977983,-43.23179
14/04/2023,15:45:18,-22.977983,-43.231818
14/04/2023,15:45:28,-22.977983,-43.231812
14/04/2023,15:45:38,-22.977981,-43.231809
14/04/2023,15:45:48,-22.977997,-43.231813
14/04/2023,15:45:58,-22.977999,-43.231812
14/04/2023,15:46:08,-22.977995,-43.231805
14/04/2023,15:46:18,-22.977984,-43.231799
14/04/2023,15:46:28,-22.977983,-43.231813
14/04/2023,15:46:38,-22.977983,-43.231808
14/04/2023,15:46:52,-22.97798,-43.231814
14/04/2023,15:47:01,-22.978003,-43.231816
14/04/2023,15:47:12,-22.977997,-43.231817
14/04/2023,15:47:22,-22.977987,-43.231811
14/04/2023,15:47:32,-22.977976,-43.231795
14/04/2023,15:47:42,-22.977989,-43.23181
14/04/2023,15:47:52,-22.977989,-43.231816
14/04/2023,15:48:02,-22.978004,-43.231811
14/04/2023,15:48:12,-22.977988,-43.231806
14/04/2023,15:48:22,-22.977985,-43.231806
14/04/2023,15:48:32,-22.977981,-43.231803
14/04/2023,15:48:42,-22.977984,-43.231809
14/04/2023,15:48:52,-22.977982,-43.23181
14/04/2023,15:49:02,-22.977994,-43.231815
14/04/2023,15:49:12,-22.977984,-43.231808
14/04/2023,15:49:22,-22.977992,-43.231808
14/04/2023,15:49:32,-22.977994,-43.231815
14/04/2023,15:49:42,-22.977989,-43.231806
14/04/2023,15:49:52,-22.977995,-43.23181
14/04/2023,15:50:02,-22.977986,-43.231806
14/04/2023,15:50:12,-22.977988,-43.231806
14/04/2023,15:50:22,-22.977983,-43.231807
