Data/Hora,"Lat, Long",Latitude,Longitude
27/04/2023 13:01:56,"-22.980801,-43.235444",-22.980801,-43.235444
27/04/2023 13:02:01,"-22.980809,-43.235464",-22.980809,-43.235464
27/04/2023 13:02:06,"-22.980822,-43.235493",-22.980822,-43.235493
27/04/2023 13:02:14,"-22.980812,-43.235531",-22.980812,-43.235531
27/04/2023 13:02:16,"-22.980807,-43.235538",-22.980807,-43.235538
27/04/2023 13:02:16,"-22.980804,-43.235538",-22.980804,-43.235538
27/04/2023 13:02:17,"-22.980797,-43.235550",-22.980797,-43.23555
27/04/2023 13:02:22,"-22.980791,-43.235535",-22.980791,-43.235535
27/04/2023 13:02:26,"-22.980782,-43.235521",-22.980782,-43.235521
27/04/2023 13:02:26,"-22.980782,-43.235517",-22.980782,-43.235517
27/04/2023 13:02:31,"-22.980798,-43.235498",-22.980798,-43.235498
27/04/2023 13:02:34,"-22.980808,-43.235496",-22.980808,-43.235496
27/04/2023 13:02:36,"-22.980809,-43.235495",-22.980809,-43.235495
27/04/2023 13:02:46,"-22.980800,-43.235508",-22.9808,-43.235508
27/04/2023 13:02:56,"-22.980846,-43.235405",-22.980846,-43.235405
27/04/2023 13:02:56,"-22.980846,-43.235405",-22.980846,-43.235405
27/04/2023 13:03:01,"-22.980721,-43.235351",-22.980721,-43.235351
27/04/2023 13:03:06,"-22.980894,-43.235332",-22.980894,-43.235332
27/04/2023 13:03:06,"-22.980894,-43.235332",-22.980894,-43.235332
27/04/2023 13:03:16,"-22.980846,-43.235351",-22.980846,-43.235351
27/04/2023 13:03:21,"-22.980824,-43.235378",-22.980824,-43.235378
27/04/2023 13:03:26,"-22.980883,-43.235380",-22.980883,-43.23538
27/04/2023 13:03:32,"-22.980831,-43.235411",-22.980831,-43.235411
27/04/2023 13:03:36,"-22.980814,-43.235428",-22.980814,-43.235428
27/04/2023 13:03:46,"-22.980796,-43.235458",-22.980796,-43.235458
27/04/2023 13:03:49,"-22.980805,-43.235444",-22.980805,-43.235444
27/04/2023 13:03:50,"-22.980794,-43.235462",-22.980794,-43.235462
27/04/2023 13:03:56,"-22.980782,-43.235461",-22.980782,-43.235461
27/04/2023 13:04:03,"-22.980772,-43.235467",-22.980772,-43.235467
27/04/2023 13:04:04,"-22.980772,-43.235488",-22.980772,-43.235488
27/04/2023 13:04:05,"-22.980771,-43.235505",-22.980771,-43.235505
27/04/2023 13:04:06,"-22.980769,-43.235517",-22.980769,-43.235517
27/04/2023 13:04:14,"-22.980744,-43.235533",-22.980744,-43.235533
27/04/2023 13:04:15,"-22.980749,-43.235519",-22.980749,-43.235519
27/04/2023 13:04:16,"-22.980753,-43.235513",-22.980753,-43.235513
27/04/2023 13:04:21,"-22.980739,-43.235538",-22.980739,-43.235538
27/04/2023 13:04:22,"-22.980740,-43.235554",-22.98074,-43.235554
27/04/2023 13:04:23,"-22.980743,-43.235569",-22.980743,-43.235569
27/04/2023 13:04:26,"-22.980748,-43.235590",-22.980748,-43.23559
27/04/2023 13:04:32,"-22.980744,-43.235601",-22.980744,-43.235601
27/04/2023 13:04:33,"-22.980734,-43.235605",-22.980734,-43.235605
27/04/2023 13:04:34,"-22.980721,-43.235612",-22.980721,-43.235612
27/04/2023 13:04:36,"-22.980724,-43.235608",-22.980724,-43.235608
27/04/2023 13:04:43,"-22.980770,-43.235584",-22.98077,-43.235584
27/04/2023 13:04:46,"-22.980785,-43.235571",-22.980785,-43.235571
27/04/2023 13:04:56,"-22.980777,-43.235545",-22.980777,-43.235545
27/04/2023 13:05:06,"-22.980777,-43.235545",-22.980777,-43.235545
27/04/2023 13:05:09,"-22.980717,-43.235571",-22.980717,-43.235571
27/04/2023 13:05:10,"-22.980698,-43.235583",-22.980698,-43.235583
27/04/2023 13:05:16,"-22.980688,-43.235590",-22.980688,-43.23559
27/04/2023 13:05:18,"-22.980676,-43.235580",-22.980676,-43.23558
27/04/2023 13:05:26,"-22.980674,-43.235582",-22.980674,-43.235582
27/04/2023 13:05:35,"-22.980671,-43.235589",-22.980671,-43.235589
27/04/2023 13:05:36,"-22.980675,-43.235591",-22.980675,-43.235591
27/04/2023 13:05:37,"-22.980697,-43.235604",-22.980697,-43.235604
27/04/2023 13:05:46,"-22.980734,-43.235604",-22.980734,-43.235604
27/04/2023 13:05:56,"-22.980752,-43.235577",-22.980752,-43.235577
27/04/2023 13:06:00,"-22.980736,-43.235592",-22.980736,-43.235592
27/04/2023 13:06:02,"-22.980728,-43.235612",-22.980728,-43.235612
27/04/2023 13:06:06,"-22.980748,-43.235615",-22.980748,-43.235615
27/04/2023 13:06:07,"-22.980756,-43.235601",-22.980756,-43.235601
27/04/2023 13:06:08,"-22.980762,-43.235586",-22.980762,-43.235586
27/04/2023 13:06:13,"-22.980758,-43.235548",-22.980758,-43.235548
27/04/2023 13:06:14,"-22.980747,-43.235564",-22.980747,-43.235564
27/04/2023 13:06:15,"-22.980736,-43.235587",-22.980736,-43.235587
27/04/2023 13:06:16,"-22.980721,-43.235614",-22.980721,-43.235614
27/04/2023 13:06:16,"-22.980721,-43.235614",-22.980721,-43.235614
27/04/2023 13:06:22,"-22.980708,-43.235564",-22.980708,-43.235564
27/04/2023 13:06:25,"-22.980674,-43.235567",-22.980674,-43.235567
27/04/2023 13:06:26,"-22.980640,-43.235557",-22.98064,-43.235557
27/04/2023 13:06:26,"-22.980640,-43.235557",-22.98064,-43.235557
27/04/2023 13:06:27,"-22.980626,-43.235553",-22.980626,-43.235553
27/04/2023 13:06:32,"-22.980567,-43.235525",-22.980567,-43.235525
27/04/2023 13:06:36,"-22.980556,-43.235531",-22.980556,-43.235531
27/04/2023 13:06:44,"-22.980602,-43.235512",-22.980602,-43.235512
27/04/2023 13:06:46,"-22.980591,-43.235492",-22.980591,-43.235492
27/04/2023 13:06:47,"-22.980590,-43.235486",-22.98059,-43.235486
27/04/2023 13:06:52,"-22.980598,-43.235447",-22.980598,-43.235447
27/04/2023 13:06:56,"-22.980598,-43.235419",-22.980598,-43.235419
27/04/2023 13:06:58,"-22.980674,-43.235624",-22.980674,-43.235624
27/04/2023 13:07:06,"-22.980660,-43.235666",-22.98066,-43.235666
27/04/2023 13:07:07,"-22.980656,-43.235663",-22.980656,-43.235663
27/04/2023 13:07:12,"-22.980659,-43.235649",-22.980659,-43.235649
27/04/2023 13:07:16,"-22.980658,-43.235645",-22.980658,-43.235645
27/04/2023 13:07:22,"-22.980667,-43.235602",-22.980667,-43.235602
27/04/2023 13:07:26,"-22.980650,-43.235566",-22.98065,-43.235566
27/04/2023 13:07:27,"-22.980645,-43.235564",-22.980645,-43.235564
27/04/2023 13:07:32,"-22.980615,-43.235535",-22.980615,-43.235535
27/04/2023 13:07:36,"-22.980611,-43.235500",-22.980611,-43.2355
27/04/2023 13:07:37,"-22.980615,-43.235493",-22.980615,-43.235493
27/04/2023 13:07:41,"-22.980612,-43.235459",-22.980612,-43.235459
27/04/2023 13:07:42,"-22.980608,-43.235451",-22.980608,-43.235451
27/04/2023 13:07:46,"-22.980565,-43.235404",-22.980565,-43.235404
27/04/2023 13:07:46,"-22.980565,-43.235404",-22.980565,-43.235404
27/04/2023 13:07:47,"-22.980557,-43.235378",-22.980557,-43.235378
27/04/2023 13:07:56,"-22.980646,-43.235296",-22.980646,-43.235296
27/04/2023 13:08:02,"-22.980764,-43.235280",-22.980764,-43.23528
27/04/2023 13:08:03,"-22.980677,-43.235232",-22.980677,-43.235232
27/04/2023 13:08:06,"-22.980522,-43.235154",-22.980522,-43.235154
27/04/2023 13:08:16,"-22.980568,-43.235190",-22.980568,-43.23519
27/04/2023 13:08:22,"-22.980705,-43.235266",-22.980705,-43.235266
27/04/2023 13:08:27,"-22.980727,-43.235282",-22.980727,-43.235282
27/04/2023 13:08:37,"-22.980830,-43.235312",-22.98083,-43.235312
27/04/2023 13:08:47,"-22.980888,-43.235342",-22.980888,-43.235342
27/04/2023 13:08:52,"-22.980801,-43.235315",-22.980801,-43.235315
27/04/2023 13:08:57,"-22.980888,-43.235339",-22.980888,-43.235339
27/04/2023 13:08:57,"-22.980888,-43.235339",-22.980888,-43.235339
27/04/2023 13:09:07,"-22.980886,-43.235341",-22.980886,-43.235341
27/04/2023 13:09:17,"-22.980878,-43.235339",-22.980878,-43.235339
27/04/2023 13:09:28,"-22.980886,-43.235350",-22.980886,-43.23535
27/04/2023 13:09:37,"-22.980864,-43.235340",-22.980864,-43.23534
27/04/2023 13:09:47,"-22.980881,-43.235350",-22.980881,-43.23535
27/04/2023 13:09:57,"-22.980875,-43.235354",-22.980875,-43.235354
27/04/2023 13:10:07,"-22.980872,-43.235354",-22.980872,-43.235354
27/04/2023 13:10:17,"-22.980892,-43.235346",-22.980892,-43.235346
27/04/2023 13:10:27,"-22.980889,-43.235348",-22.980889,-43.235348
27/04/2023 13:10:37,"-22.980881,-43.235352",-22.980881,-43.235352
